ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
GRC,Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,972.87","25,896.93","22,171.91","21,805.26","21,726.89","18,114.72","18,110.87","18,897.64","20,317.18","19,974.37","20,845.32","21,739.02","22,607.12","23,429.54","24,335.71",2018
GRD,Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,365.66","7,410.48","7,583.18","7,956.06","8,569.92","9,333.27","9,892.57","10,439.93","10,939.29","11,381.38","11,848.12","12,349.25","12,947.08","13,574.83","14,203.42",2016
GTM,Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,825.51","3,187.84","3,299.60","3,452.83","3,687.75","3,923.56","4,140.72","4,469.46","4,545.09","4,616.85","4,807.55","5,047.63","5,279.75","5,525.90","5,872.65",2018
GIN,Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",631.291,540.562,637.791,712.982,729.798,712.047,679.947,794.6,910.063,981.016,"1,030.71","1,087.28","1,138.48","1,188.82","1,241.66",2014
GNB,Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",582.498,736.846,649.04,671.127,662.383,643.916,708.391,793.768,822.005,786.292,830.209,876.874,928.053,984.471,"1,046.65",2017
GUY,Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,000.38","3,408.19","3,775.15","3,926.00","4,028.33","4,168.48","4,531.24","4,635.61","4,984.10","5,252.05","10,249.38","10,990.13","13,501.74","17,635.83","19,404.51",2017
HTI,Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",661.853,740.934,766.861,810.414,830.033,814.456,735.213,765.598,868.763,784.08,765.413,788.389,811.877,835.235,859.563,0
HND,Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,919.47","2,113.28","2,178.42","2,136.74","2,242.71","2,341.28","2,382.61","2,491.47","2,523.80","2,548.46","2,593.93","2,655.03","2,729.43","2,811.14","2,900.35",2017
HKG,Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","32,422.06","34,951.03","36,619.81","38,230.07","40,182.28","42,321.71","43,496.30","46,096.48","48,450.61","49,334.35","50,460.39","52,407.80","54,571.09","56,922.35","59,506.47",2018
HUN,Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,073.96","14,097.94","12,873.20","13,646.27","14,182.70","12,487.23","12,822.51","14,272.75","16,484.19","17,463.28","18,535.15","19,781.27","20,775.32","21,859.12","22,997.51",2018
ISL,Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","43,080.60","47,600.73","46,073.94","49,815.68","54,527.56","52,838.36","62,004.70","72,283.29","74,515.47","67,037.34","66,601.88","66,799.31","67,088.52","68,212.94","69,699.22",2018
IND,India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,422.93","1,497.75","1,481.56","1,485.60","1,610.36","1,639.69","1,761.63","2,014.01","2,037.69","2,171.64","2,338.12","2,529.34","2,737.15","2,965.51","3,209.67",2013
IDN,Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,178.13","3,688.53","3,744.53","3,684.00","3,533.61","3,367.69","3,605.72","3,884.72","3,870.56","4,163.76","4,464.57","4,755.70","5,042.55","5,346.10","5,666.80",2018
IRN,Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,504.87","7,680.86","5,118.47","5,152.04","5,395.79","4,723.48","5,026.65","5,289.80","5,416.53","5,506.23","5,503.08","5,604.66","5,785.16","6,062.62","6,552.33",2018
IRQ,Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,473.71","5,848.54","6,692.58","7,021.41","6,704.31","5,047.12","4,842.55","5,263.21","5,881.52","5,738.45","5,799.43","5,891.46","6,031.31","6,187.37","6,370.53",2013
IRL,Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,708.63","51,834.31","48,848.48","51,461.98","55,390.22","61,791.03","62,938.22","69,462.90","78,334.87","77,771.21","80,264.84","83,899.18","87,714.56","91,529.49","95,678.40",2018
ISR,Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,670.34","33,713.12","32,524.75","36,325.04","37,695.56","35,791.22","37,332.94","40,558.53","41,728.19","42,823.31","44,474.07","46,033.39","47,685.68","49,477.74","51,318.09",2018
ITA,Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,655.11","38,011.62","34,470.42","35,219.33","35,456.72","30,153.43","30,823.99","32,195.43","34,320.75","32,946.52","33,431.25","34,439.78","35,442.54","36,465.68","37,611.57",2018
JAM,Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,812.26","5,232.30","5,332.49","5,104.90","4,953.22","5,029.07","4,986.45","5,193.49","5,406.37","5,460.98","5,698.63","5,877.32","6,095.84","6,337.75","6,602.79",2015
JPN,Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,673.61","48,168.80","48,632.90","40,490.16","38,156.33","34,568.93","38,804.86","38,342.74","39,303.96","40,846.78","43,043.42","44,637.43","46,453.57","48,460.64","50,637.00",2017
JOR,Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,679.19","3,826.55","3,930.95","4,054.77","4,129.99","4,145.48","4,151.16","4,201.66","4,270.17","4,386.61","4,541.55","4,724.43","4,937.46","5,178.60","5,433.59",2015
